Date : 2025-10-14 17:49:17
Directory : /Users/lucaswhelan/CareCompanion
Total : 146 files,  37996 codes, 1215 comments, 3108 blanks, all 42319 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /Users/lucaswhelan/CareCompanion/apps/web/src/components/ChatWidget.tsx                                                           | TypeScript JSX     |        261 |          4 |         19 |        284 |
| /Users/lucaswhelan/CareCompanion/apps/web/src/components/EditAppointmentModal.tsx                                                 | TypeScript JSX     |        364 |         30 |         42 |        436 |
| /Users/lucaswhelan/CareCompanion/apps/web/src/components/EditMedicationModal.tsx                                                  | TypeScript JSX     |        375 |          5 |         31 |        411 |
| /Users/lucaswhelan/CareCompanion/apps/web/src/components/EventDetailsModal.tsx                                                    | TypeScript JSX     |        267 |         14 |         35 |        316 |
| /Users/lucaswhelan/CareCompanion/apps/web/src/components/FamilyMembers.tsx                                                        | TypeScript JSX     |        346 |          6 |         27 |        379 |
| /Users/lucaswhelan/CareCompanion/apps/web/src/components/PatientPortalAccess.tsx                                                  | TypeScript JSX     |        264 |          6 |         26 |        296 |
| /Users/lucaswhelan/CareCompanion/apps/web/src/components/QuickEntry.tsx                                                           | TypeScript JSX     |        284 |          5 |         34 |        323 |
| /Users/lucaswhelan/CareCompanion/apps/web/src/components/RootRedirect.tsx                                                         | TypeScript JSX     |         46 |         11 |         10 |         67 |
| /Users/lucaswhelan/CareCompanion/apps/web/src/components/TasksOverview.tsx                                                        | TypeScript JSX     |        254 |          8 |         36 |        298 |
| /Users/lucaswhelan/CareCompanion/apps/web/src/components/TodaySchedule.tsx                                                        | TypeScript JSX     |        502 |         36 |         52 |        590 |
| /Users/lucaswhelan/CareCompanion/apps/web/src/components/UploadDocumentModal.tsx                                                  | TypeScript JSX     |        421 |         26 |         51 |        498 |
| /Users/lucaswhelan/CareCompanion/apps/web/src/components/layouts/DashboardLayout.tsx                                              | TypeScript JSX     |        150 |          9 |         12 |        171 |
| /Users/lucaswhelan/CareCompanion/apps/web/src/hooks/useAudioRecorder.ts                                                           | TypeScript         |        178 |         19 |         34 |        231 |
| /Users/lucaswhelan/CareCompanion/apps/web/src/hooks/useOnboarding.ts                                                              | TypeScript         |         45 |          5 |          7 |         57 |
| /Users/lucaswhelan/CareCompanion/apps/web/src/lib/api.ts                                                                          | TypeScript         |         48 |          7 |          5 |         60 |
| /Users/lucaswhelan/CareCompanion/apps/web/src/lib/utils.ts                                                                        | TypeScript         |          5 |          0 |          1 |          6 |
| /Users/lucaswhelan/CareCompanion/apps/web/src/main.tsx                                                                            | TypeScript JSX     |         16 |          0 |          3 |         19 |
| /Users/lucaswhelan/CareCompanion/apps/web/src/pages/AcceptInvitation.tsx                                                          | TypeScript JSX     |        148 |          3 |         13 |        164 |
| /Users/lucaswhelan/CareCompanion/apps/web/src/pages/Calendar.tsx                                                                  | TypeScript JSX     |        381 |         22 |         37 |        440 |
| /Users/lucaswhelan/CareCompanion/apps/web/src/pages/Dashboard.tsx                                                                 | TypeScript JSX     |        718 |         38 |         76 |        832 |
| /Users/lucaswhelan/CareCompanion/apps/web/src/pages/DevInvitations.tsx                                                            | TypeScript JSX     |        180 |          9 |         15 |        204 |
| /Users/lucaswhelan/CareCompanion/apps/web/src/pages/Documents.tsx                                                                 | TypeScript JSX     |        600 |         25 |         42 |        667 |
| /Users/lucaswhelan/CareCompanion/apps/web/src/pages/Facts.tsx                                                                     | TypeScript JSX     |        139 |          0 |         15 |        154 |
| /Users/lucaswhelan/CareCompanion/apps/web/src/pages/Family.tsx                                                                    | TypeScript JSX     |        108 |          5 |         13 |        126 |
| /Users/lucaswhelan/CareCompanion/apps/web/src/pages/Journal.tsx                                                                   | TypeScript JSX     |        568 |          9 |         58 |        635 |
| /Users/lucaswhelan/CareCompanion/apps/web/src/pages/Medications.tsx                                                               | TypeScript JSX     |        421 |          9 |         36 |        466 |
