"filename", "language", "Markdown", "TypeScript", "JSON", "JSON with Comments", "JavaScript", "YAML", "HTML", "Shell Script", "MS SQL", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"/Users/lucaswhelan/CareCompanion/apps/api/src/routes/index.ts", "TypeScript", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 12, 55
"/Users/lucaswhelan/CareCompanion/apps/api/src/routes/journal.routes.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 23
"/Users/lucaswhelan/CareCompanion/apps/api/src/routes/journal.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 10
"/Users/lucaswhelan/CareCompanion/apps/api/src/routes/medication.routes.ts", "TypeScript", 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11, 76
"/Users/lucaswhelan/CareCompanion/apps/api/src/routes/medication.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 10
"/Users/lucaswhelan/CareCompanion/apps/api/src/routes/patient.routes.ts", "TypeScript", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 10, 65
"/Users/lucaswhelan/CareCompanion/apps/api/src/routes/patient.ts", "TypeScript", 0, 230, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 17, 258
"/Users/lucaswhelan/CareCompanion/apps/api/src/services/ai/openai.service.ts", "TypeScript", 0, 293, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 32, 332
"/Users/lucaswhelan/CareCompanion/apps/api/src/services/email.service.ts", "TypeScript", 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14, 101
"/Users/lucaswhelan/CareCompanion/apps/api/src/services/factExtraction.service.ts", "TypeScript", 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 12, 86
"/Users/lucaswhelan/CareCompanion/apps/api/src/services/factsHeader.service.ts", "TypeScript", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 35
"/Users/lucaswhelan/CareCompanion/apps/api/src/services/recurrence.service.ts", "TypeScript", 0, 171, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 34, 233
"/Users/lucaswhelan/CareCompanion/apps/api/src/services/s3.service.ts", "TypeScript", 0, 137, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 26, 193
"/Users/lucaswhelan/CareCompanion/apps/api/src/types/index.ts", "TypeScript", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 33
"/Users/lucaswhelan/CareCompanion/apps/api/src/utils/errors.ts", "TypeScript", 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 56
"/Users/lucaswhelan/CareCompanion/apps/api/src/utils/logger.ts", "TypeScript", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 29
"/Users/lucaswhelan/CareCompanion/apps/api/src/utils/tokens.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 5, 30
"/Users/lucaswhelan/CareCompanion/apps/api/tsconfig.json", "JSON with Comments", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19
"/Users/lucaswhelan/CareCompanion/apps/api/tsconfig.tsbuildinfo", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/lucaswhelan/CareCompanion/apps/web/.eslintrc.cjs", "JavaScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 20
"/Users/lucaswhelan/CareCompanion/apps/web/index.html", "HTML", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 17
"/Users/lucaswhelan/CareCompanion/apps/web/package.json", "JSON", 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 61
"/Users/lucaswhelan/CareCompanion/apps/web/postcss.config.js", "JavaScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 6
"/Users/lucaswhelan/CareCompanion/apps/web/src/App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 5, 47
"/Users/lucaswhelan/CareCompanion/apps/web/src/Router.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 0, 3, 4, 56
"/Users/lucaswhelan/CareCompanion/apps/web/src/components/AddAppointmentModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 332, 0, 19, 32, 383
"/Users/lucaswhelan/CareCompanion/apps/web/src/components/AddMedicationModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 360, 0, 5, 31, 396
"/Users/lucaswhelan/CareCompanion/apps/web/src/components/AddTaskModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 223, 0, 14, 26, 263
"/Users/lucaswhelan/CareCompanion/apps/web/src/components/ChatWidget.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 261, 0, 4, 19, 284
"/Users/lucaswhelan/CareCompanion/apps/web/src/components/EditAppointmentModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 364, 0, 30, 42, 436
"/Users/lucaswhelan/CareCompanion/apps/web/src/components/EditMedicationModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 375, 0, 5, 31, 411
"/Users/lucaswhelan/CareCompanion/apps/web/src/components/EventDetailsModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 267, 0, 14, 35, 316
"/Users/lucaswhelan/CareCompanion/apps/web/src/components/FamilyMembers.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 346, 0, 6, 27, 379
"/Users/lucaswhelan/CareCompanion/apps/web/src/components/PatientPortalAccess.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 264, 0, 6, 26, 296
"/Users/lucaswhelan/CareCompanion/apps/web/src/components/QuickEntry.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 284, 0, 5, 34, 323
"/Users/lucaswhelan/CareCompanion/apps/web/src/components/RootRedirect.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 0, 11, 10, 67
"/Users/lucaswhelan/CareCompanion/apps/web/src/components/TasksOverview.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 254, 0, 8, 36, 298
"/Users/lucaswhelan/CareCompanion/apps/web/src/components/TodaySchedule.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 502, 0, 36, 52, 590
"/Users/lucaswhelan/CareCompanion/apps/web/src/components/UploadDocumentModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 421, 0, 26, 51, 498
"/Users/lucaswhelan/CareCompanion/apps/web/src/components/layouts/DashboardLayout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 0, 9, 12, 171
"/Users/lucaswhelan/CareCompanion/apps/web/src/hooks/useAudioRecorder.ts", "TypeScript", 0, 178, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 34, 231
"/Users/lucaswhelan/CareCompanion/apps/web/src/hooks/useOnboarding.ts", "TypeScript", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 7, 57
"/Users/lucaswhelan/CareCompanion/apps/web/src/lib/api.ts", "TypeScript", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 60
"/Users/lucaswhelan/CareCompanion/apps/web/src/lib/utils.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/Users/lucaswhelan/CareCompanion/apps/web/src/main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 3, 19
"/Users/lucaswhelan/CareCompanion/apps/web/src/pages/AcceptInvitation.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 148, 0, 3, 13, 164
"/Users/lucaswhelan/CareCompanion/apps/web/src/pages/Calendar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 381, 0, 22, 37, 440
"/Users/lucaswhelan/CareCompanion/apps/web/src/pages/Dashboard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 718, 0, 38, 76, 832
"/Users/lucaswhelan/CareCompanion/apps/web/src/pages/DevInvitations.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 180, 0, 9, 15, 204
"/Users/lucaswhelan/CareCompanion/apps/web/src/pages/Documents.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 600, 0, 25, 42, 667
"/Users/lucaswhelan/CareCompanion/apps/web/src/pages/Facts.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 139, 0, 0, 15, 154
"/Users/lucaswhelan/CareCompanion/apps/web/src/pages/Family.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 108, 0, 5, 13, 126
"/Users/lucaswhelan/CareCompanion/apps/web/src/pages/Journal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 568, 0, 9, 58, 635
"/Users/lucaswhelan/CareCompanion/apps/web/src/pages/Medications.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 421, 0, 9, 36, 466
"/Users/lucaswhelan/CareCompanion/apps/web/src/pages/Onboarding.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 372, 0, 7, 22, 401
"/Users/lucaswhelan/CareCompanion/apps/web/src/pages/PatientPortal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 617, 0, 23, 64, 704
"/Users/lucaswhelan/CareCompanion/apps/web/src/pages/Patients.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 1, 16
"/Users/lucaswhelan/CareCompanion/apps/web/src/pages/SignIn.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 102, 0, 6, 7, 115
"/Users/lucaswhelan/CareCompanion/apps/web/src/pages/SignUp.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 126, 0, 8, 10, 144
"/Users/lucaswhelan/CareCompanion/apps/web/src/providers/ApiProvider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 0, 4, 11, 76
"/Users/lucaswhelan/CareCompanion/apps/web/src/styles/globals.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 115, 4, 26, 145
"/Users/lucaswhelan/CareCompanion/apps/web/src/types/clerk.d.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"/Users/lucaswhelan/CareCompanion/apps/web/tailwind.config.js", "JavaScript", 0, 0, 0, 0, 76, 0, 0, 0, 0, 0, 0, 1, 0, 77
"/Users/lucaswhelan/CareCompanion/apps/web/tsconfig.json", "JSON with Comments", 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 3, 3, 34
"/Users/lucaswhelan/CareCompanion/apps/web/tsconfig.tsbuildinfo", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/lucaswhelan/CareCompanion/apps/web/vite.config.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 21
"/Users/lucaswhelan/CareCompanion/design/UI_Design.md", "Markdown", 748, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 104, 854
"/Users/lucaswhelan/CareCompanion/design/mockups/dashboard.html", "HTML", 0, 0, 0, 0, 0, 0, 692, 0, 0, 0, 0, 9, 94, 795
"/Users/lucaswhelan/CareCompanion/docker-compose.yml", "YAML", 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 3, 51
"/Users/lucaswhelan/CareCompanion/package-lock.json", "JSON", 0, 0, 15917, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15918
"/Users/lucaswhelan/CareCompanion/package.json", "JSON", 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 52
"/Users/lucaswhelan/CareCompanion/packages/database/package.json", "JSON", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27
"/Users/lucaswhelan/CareCompanion/packages/database/prisma/migrate-clerk-ids.ts", "TypeScript", 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 15, 75
"/Users/lucaswhelan/CareCompanion/packages/database/prisma/migrations/20250726232206_initial_schema/migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 237, 0, 0, 75, 89, 401
"/Users/lucaswhelan/CareCompanion/packages/database/prisma/migrations/20250727165753_add_recurrence_to_care_tasks/migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 3, 3, 12
"/Users/lucaswhelan/CareCompanion/packages/database/prisma/migrations/20250727184116_add_reminder_date_to_tasks/migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 3
"/Users/lucaswhelan/CareCompanion/packages/database/prisma/migrations/20251014001653_add_patient_checklist/migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 8, 10, 45
"/Users/lucaswhelan/CareCompanion/packages/database/prisma/migrations/20251014004524_add_scheduled_time_to_checklist/migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 3
"/Users/lucaswhelan/CareCompanion/packages/database/src/client.js", "JavaScript", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 1, 0, 11
"/Users/lucaswhelan/CareCompanion/packages/database/src/client.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"/Users/lucaswhelan/CareCompanion/packages/database/src/index.js", "JavaScript", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 1, 0, 23
"/Users/lucaswhelan/CareCompanion/packages/database/src/index.ts", "TypeScript", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 30
"/Users/lucaswhelan/CareCompanion/packages/shared/package.json", "JSON", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19
